"filename", "language", "C++", "CMake", "Markdown", "YAML", "HTML", "JSON", "Dart", "Swift", "Gradle", "Properties", "XML", "comment", "blank", "total"
"d:\final project\Graduation-Project\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 12, 7, 87
"d:\final project\Graduation-Project\lib\home.dart", "Dart", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 7, 5, 199
"d:\final project\Graduation-Project\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 12, 9, 47
"d:\final project\Graduation-Project\lib\views\ConatctUspage\contactUsPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 3, 11, 219
"d:\final project\Graduation-Project\lib\views\DeleteAccountPage\DeleteDataPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 3, 7, 261
"d:\final project\Graduation-Project\lib\views\DepOrBi_Test.dart", "Dart", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 2, 4, 148
"d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\DepOrBi.dart", "Dart", 0, 0, 0, 0, 0, 0, 601, 0, 0, 0, 0, 5, 17, 623
"d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\DepOrBilastpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 10, 16, 144
"d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\Result2DepOrBi.dart", "Dart", 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 0, 54, 11, 334
"d:\final project\Graduation-Project\lib\views\DepressionOrBipolarTest\ResultDepOrBi.dart", "Dart", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 4, 110
"d:\final project\Graduation-Project\lib\views\FAQPage.dart", "Dart", 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 2, 13, 279
